seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,leave_one_out_optimization_loss,leave_one_out_engine,leave_one_out_engine_losses,contribution_share,optimization_after
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,10,2,False,0.4737265966771876,0.0057591107700600795,-0.003383892277876537,0.0,0.001460823148947201,custom,"{""bfgs"": 0.10046730832063953, ""custom"": 0.001460823148947201}",0.004,0.00487955538503004
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,10,3,False,0.231964695539853,0.026915475644569583,0.0034698198239008597,0.0034698198239008597,0.0051329167328579926,custom,"{""bfgs"": 0.06718253331416699, ""custom"": 0.0051329167328579926}",0.07993151778843784,0.05342349671650371
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,10,4,False,0.14442661854003544,0.2141305731747343,0.02806697910030683,0.02806697910030683,0.019949919106902383,custom,"{""bfgs"": 0.03227360606973473, ""custom"": 0.019949919106902383}",0.6182014372454497,0.416166005210092
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,11,15,True,3.697449648706734e-05,0.5213065251981013,0.00997996454437574,0.00997996454437574,0.01127707905795719,custom,"{""bfgs"": 0.06838449658080897, ""custom"": 0.01127707905795719}",0.9711070507349331,0.7462067879665172
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,11,1,False,0.14984511474643689,0.004224417490272974,-5.068009098370754e-05,0.0,0.0023938841166761047,custom,"{""bfgs"": 0.03612018802888116, ""custom"": 0.0023938841166761047}",0.004,0.004112208745136487
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,11,2,False,0.4737265966771876,0.00487955538503004,0.0001330475012461356,0.0001330475012461356,0.002328223452748492,custom,"{""bfgs"": 0.09285442255046814, ""custom"": 0.002328223452748492}",0.01689294926506686,0.01088625232504845
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,11,3,False,0.231964695539853,0.05342349671650371,-2.617637316383592e-06,0.0,0.002358207582781735,custom,"{""bfgs"": 0.06698588129378638, ""custom"": 0.002358207582781735}",0.004,0.028711748358251854
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,11,4,False,0.14442661854003544,0.416166005210092,-3.7404398123420945e-05,0.0,0.002382812114833747,custom,"{""bfgs"": 0.06208328107170416, ""custom"": 0.002382812114833747}",0.004,0.210083002605046
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,12,15,True,3.697449648706734e-05,0.7462067879665172,0.0129215307533741,0.0129215307533741,0.008413963019684154,custom,"{""bfgs"": 0.06181814921888308, ""custom"": 0.008413963019684154}",0.29134399524906457,0.518775391607791
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,12,1,False,0.14984511474643689,0.004112208745136487,-0.00440596416592598,0.0,0.0014621662280853197,custom,"{""bfgs"": 0.04036199849148937, ""custom"": 0.0014621662280853197}",0.004,0.004056104372568244
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,12,2,False,0.4737265966771876,0.01088625232504845,-0.0035480596125125885,0.0,0.0016035119580396929,custom,"{""bfgs"": 0.10044024007247639, ""custom"": 0.0016035119580396929}",0.004,0.007443126162524227
