agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,payment_contribution_source,payment_fallback_reason
3,1.0,0.2,1.0,1.0,1.1400000000000001,10.0,5,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,1.0,0.3974725085818963,1.0,1.0,1.1400000000000001,10.0,6,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
15,1.7531970869868338e-05,0.15100000000000002,0.005015607817037556,0.0030163774785704808,1.06,1.0717638721664249,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,0.06596544496746644,0.15100000000000002,0.06266882737311263,0.06398747441085416,1.22,1.469551150202331,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.2104490459798888,0.15100000000000002,0.029986886534327493,0.10217175031255203,1.3800000000000001,1.778469826218953,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.4360783805935065,0.396,0.6505499735576641,0.5647613363720011,1.1400000000000001,3.342569211850804,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,0.2874895964882684,0.15100000000000002,0.25177870471785824,0.2660630614260223,1.3,2.337645939561487,6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
15,0.0002705713193371057,0.15581671160149987,0.17941532909199182,0.10775742598292994,1.06,1.8918873285882192,7,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
1,0.999729428680663,0.09209290697709742,0.8205846709080082,0.8922425740170701,1.22,8.108112671411781,7,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
15,5.1997864188056995e-05,0.20380061119968904,0.276804550895467,0.16610352968295541,1.06,1.707803765763526,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,0.1921260360658335,0.20252639588712446,0.25518257043261733,0.2299599566859038,1.22,2.1168438310750246,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.177482230602197,0.198302688780124,0.16586689339338273,0.17051302827690845,1.3800000000000001,2.045000810279943,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.34317242462192676,0.19766546887176664,0.15012129876980793,0.22734174911065547,1.1400000000000001,2.0266328215315563,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,0.2871673108458547,0.19770483526129587,0.15202468650872503,0.2060817362435769,1.3,2.10371877134995,7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
15,1.1650676905008064e-05,0.19751428545746516,0.16737726647731496,0.10043102015715097,1.06,1.4516809786128888,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,0.5648165438065023,0.19129632333607477,0.03799220592448591,0.24872194107729245,1.22,2.1900155702014406,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.1102554407322739,0.20399905029064258,0.00609429833792663,0.04775875529566554,1.3800000000000001,1.5662591456530957,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.2866941924525916,0.20589549708275864,0.47882413808354235,0.401972159831162,1.1400000000000001,2.707691423341532,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,0.03822217233172724,0.20129484383305887,0.3097120911767302,0.20111612363872902,1.3,2.084352882191043,8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
15,4.8509696297837137e-05,0.011412636078994252,0.18052327252915518,0.10833336739601224,1.06,1.6320001798509445,10,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
1,0.26577505210603297,0.015385784665352358,0.0512200794565341,0.13704206851633366,1.22,1.9435821217662417,10,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
3,0.14026729079346908,0.5258271614114712,0.6590706396797831,0.45154930012525746,1.1400000000000001,3.524180304661359,10,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
4,0.5939091474042,0.10625182161482949,0.10918600833452766,0.3030752639623966,1.3,2.900237393721454,10,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
2,1.0,0.10761934943617703,1.0,1.0,1.3800000000000001,10.0,10,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.4312293385411525,0.2652966693202064,0.26138747177810356,0.32932421848332316,1.3800000000000001,3.415223670226937,11,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
3,0.43442969334477916,0.05036233800748039,0.3681625016309734,0.39466937831649573,1.1400000000000001,3.579056757995944,11,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
4,0.13434096811406845,0.34388998508132596,0.37045002659092313,0.27600640320018127,1.3,3.00571957177712,11,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
