seed,dimension,poison_ratio,target,initialization,evaluator,update_rate,round,target_error,evaluation_loss,consistency_l1,update_l1,informative,stage3_requests_cumulative,contribution_requests_cumulative
1,2,0.0,0.0,dirichlet,uniform,0.3,1,0.014540008070869467,0.0021160791317621865,0.8273674772801431,0.24821024318404297,True,423,114
1,2,0.0,0.0,dirichlet,uniform,0.3,2,0.014580583020959822,0.001879046360651652,0.5745242458038117,0.17235727374114357,True,654,171
1,2,0.0,0.0,dirichlet,uniform,0.3,3,0.014555923903994095,0.0018299495180447896,0.40121739073969964,0.12036521722190988,True,777,228
1,2,0.0,0.0,dirichlet,uniform,0.3,4,0.014564684739925528,0.001464303582906723,0.27388620123289553,0.08216586036986864,True,1008,285
1,2,0.0,0.0,dirichlet,uniform,0.3,5,0.014487165481644734,0.0008618831634521484,0.1806364438770064,0.05419093316310199,True,1344,342
1,2,0.0,0.0,reversed,optimization,0.0,0,0.014813430607833938,0.00011320866748857646,0.5499201415841659,0.0,True,285,210
1,2,0.0,0.0,reversed,optimization,0.3,0,0.014813430607833938,0.00011320866748857646,0.5499201415841659,0.16497604247524972,True,285,210
1,2,0.0,0.0,reversed,optimization,0.3,1,0.014814421634260382,0.0001322982667319137,0.39538414248446,0.11861524274533808,True,690,438
1,2,0.0,0.0,reversed,optimization,0.3,2,0.014823504654682053,0.00015127958326515383,0.4472881601313877,0.1341864480394164,True,1008,522
1,2,0.0,0.0,reversed,optimization,0.3,3,0.014705880002742255,0.00015159461794434447,0.2279568762304477,0.06838706286913426,True,1356,1125
1,2,0.0,0.0,reversed,optimization,0.3,4,0.014800661525185721,0.00015742240049234295,0.5529197186584074,0.16587591559752224,True,1608,1689
1,2,0.0,0.0,reversed,optimization,0.3,5,0.014819675826806905,0.00012157789359471753,0.29233081472664735,0.08769924441799418,True,1881,1746
1,2,0.0,0.0,reversed,uniform,0.0,0,0.014813430607833938,0.00017948076128959656,0.5409193974397937,0.0,True,285,57
1,2,0.0,0.0,reversed,uniform,0.3,0,0.014813430607833938,0.00017948076128959656,0.5409193974397937,0.16227581923193807,True,285,57
1,2,0.0,0.0,reversed,uniform,0.3,1,0.0148137756878408,0.00017866616447766623,0.3786278890487181,0.11358836671461539,True,555,114
1,2,0.0,0.0,reversed,uniform,0.3,2,0.014560315755806592,0.001442467172940572,0.29049030762310923,0.08714709228693282,True,693,171
1,2,0.0,0.0,reversed,uniform,0.3,3,0.014811577232178907,0.00017901758352915445,0.17789919828043937,0.053369759484131765,True,1035,228
1,2,0.0,0.0,reversed,uniform,0.3,4,0.014749411546736167,0.0002109458049138387,0.12514505362660266,0.03754351608798079,True,1296,285
1,2,0.0,0.0,reversed,uniform,0.3,5,0.01450228932634139,0.0013044488926728566,0.10953807436183592,0.03286142230855085,True,1425,342
1,2,0.3,0.0,stage0,optimization,0.0,0,0.012872931032486434,0.011965497923398962,1.2118146203208275,0.0,True,189,48
1,2,0.3,0.0,stage0,optimization,0.3,0,0.012872931032486434,0.011965497923398962,1.2118146203208275,0.3635443860962483,True,189,48
1,2,0.3,0.0,stage0,optimization,0.3,1,0.009884546922004134,0.009347341139239525,1.053441940534049,0.3160325821602146,True,360,96
1,2,0.3,0.0,stage0,optimization,0.3,2,0.008487598216348147,0.009609972241484872,0.5483196850264589,0.16449590550793766,True,510,144
1,2,0.3,0.0,stage0,optimization,0.3,3,0.023376651848010965,0.009427502838090426,0.3132138612999909,0.09396415838999728,True,627,192
1,2,0.3,0.0,stage0,optimization,0.3,4,0.023670078316136767,0.008156307519055966,0.2149646635197121,0.06448939905591361,True,759,240
1,2,0.3,0.0,stage0,optimization,0.3,5,0.023803724958078476,0.00728251169619855,0.46834545050773013,0.14050363515231903,True,891,324
