agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,payment_contribution_source,payment_fallback_reason
2,0.4484925528268071,0.22265166159791083,0.22310238005573196,0.313258449164162,1.3800000000000001,2.6017079517402317,16,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.16361062039438065,0.14187095717094111,0.1841534918031168,0.17593634323962234,1.1400000000000001,1.8261517386345272,16,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.05354751474928907,0.089748684285846,0.14094003339026892,0.10598302593387697,1.3,1.7133338011421202,16,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.07937157583358231,0.3309893785672079,0.29425254481802327,0.20830015722424688,1.22,2.2531687798322646,17,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
2,0.29768186247881834,0.11741946395745614,0.388069226341331,0.3519142807963259,1.3800000000000001,3.1254948327497765,17,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
3,0.40251828066721324,0.43940365747533594,0.3176485889390333,0.3515964656303053,1.1400000000000001,2.8839184695263143,17,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
4,0.22042828102038609,0.11218750000000001,2.9639901612433542e-05,0.0881890963491219,1.3,1.7374179178916447,17,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
15,5.888061518003546e-05,0.2,0.011369986812269786,0.006845544333433886,1.06,1.0866976229003922,18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.12593646768647127,0.2,0.29980878005445644,0.23025985510726235,1.22,2.118013434918323,18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.24757861753918503,0.2,0.5415635103101875,0.4239695532017865,1.3800000000000001,3.033481257486967,18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.46339271449052866,0.2,0.11142845406904504,0.2522141582376385,1.1400000000000001,2.12363521712679,18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.16303331966863496,0.2,0.035829268754041396,0.08671088911987881,1.3,1.6381724675675273,18,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
