agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,payment_contribution_source,payment_fallback_reason
15,2.175975559777385e-05,0.1607272121684881,0.13384812916536654,0.08031758140145903,1.06,1.4648006102633535,2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
1,0.5955861490314792,0.40068985658339373,0.7177109870201243,0.6688610518246663,1.22,4.591059701196318,2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
2,0.29748947303376394,0.3398387576132191,0.12099341808054324,0.19159184006183153,1.3800000000000001,2.345622873911631,2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
4,0.1069026181791589,0.09874417363489901,0.027447465733966107,0.05922952671204323,1.3,1.5985168146286979,2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
15,1.4510925661671696e-05,0.013719707538925837,0.13066038107872022,0.07840203301749679,1.06,1.3657679287682374,2,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.3971784653041459,0.37712363018978867,0.249067598386957,0.30831194515383253,1.22,2.4224165860999465,2,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.19838676996741975,0.2189671913342753,0.2556746903599184,0.23275952220291896,1.3800000000000001,2.287762136591384,2,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.3331301173641743,0.3273106015532368,0.3175095210076864,0.3237577595502816,1.1400000000000001,2.402655262246098,2,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.07129013643859818,0.06287886938377342,0.0470878091667179,0.05676874007547001,1.3,1.521398086294333,2,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,2.4604830072181726e-05,0.2325967365634635,0.07544233792618875,0.04527524468774212,1.06,1.2918092528012397,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
2,0.13400945344836024,0.32594444123866473,0.7724354496733077,0.5170650511833287,1.3800000000000001,4.0273730620586425,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
3,0.13744523927692825,0.219375,0.07013819776270865,0.0970610143683965,1.1400000000000001,1.63695239356619,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
4,0.7285207024446393,0.2220838221978718,0.08198401463779494,0.34059868976053265,1.3,3.043865291573927,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
15,2.9004752924742476e-05,0.0676512353747726,0.04837260380551156,0.029035164184476832,1.06,1.2109828537592795,3,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
1,0.6799738130002996,0.17160268805966478,0.03598639241550844,0.29358136064942486,1.22,2.746623075377009,3,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
2,0.15797349851418066,0.37665645288867805,0.38199874776597526,0.2923886480652574,1.3800000000000001,2.900420969939338,3,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
3,0.162023683732595,0.38408962367688465,0.5336422560130047,0.3849948271008408,1.1400000000000001,3.141973100924372,3,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
15,4.3845710194547666e-05,0.2,0.35997867699035774,0.21600474447829246,1.06,1.9024185034653405,4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.20936326927390417,0.2,0.4014123826086507,0.3245927372747521,1.22,2.4859116753715327,4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.30968159678506796,0.2,0.10455621688288257,0.18660636884375673,1.3800000000000001,2.107764838490651,4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
